,brick row,shoe column,shoe row,results
677,15,4,6,1.8866396683810965e-07
678,12,3,8,8.286051333365874e-07
679,11,2,7,1.3751677068208752e-06
680,10,4,7,2.3487851436527882e-06
681,17,1,15,6.564379863347354e-07
682,3,3,15,5.582646771789995e-06
683,4,4,6,0.005409409190822135
684,16,1,8,2.5255041407965015e-07
685,7,2,1,2.4579261261817236e-06
686,9,4,15,0.0012213125043847592
687,16,4,3,8.724914993776741e-08
688,16,2,15,8.272490460142512e-07
689,14,1,16,4.364657624227929e-06
690,5,2,8,0.003755661946592076
691,12,1,7,1.0361961951700046e-06
692,16,4,11,3.2566178338069814e-07
693,14,1,2,1.8223829467974005e-07
694,10,2,8,3.400112695362541e-06
695,14,3,5,1.8972929910232128e-07
696,7,3,12,0.0033716864175102703
697,8,3,2,1.4257513476963498e-06
698,14,3,8,3.346273355798047e-07
699,9,3,8,5.582643611662233e-06
700,18,3,17,2.8358784464509635e-07
701,15,3,8,2.2724153571259558e-07
702,17,2,3,7.235817824770785e-08
703,10,2,6,1.819639421291112e-06
704,10,2,9,4.835999268592781e-06
705,2,2,16,2.4579272855253133e-06
706,2,3,14,3.7951276537549987e-06
707,9,4,6,3.2757106183369175e-06
708,5,2,18,1.0865460773501055e-05
709,5,2,17,1.7423820279461278e-05
710,16,4,2,7.601136521458928e-08
711,2,3,3,0.013258467350228568
712,13,1,1,2.1382141405886565e-07
713,9,4,16,0.005409412858235906
714,6,2,15,0.00025921904055040525
715,8,2,14,0.0037556631543544045
716,5,1,16,4.1650296132379715e-05
717,17,1,16,8.19405588547827e-07
718,3,4,12,3.166763312958167e-05
719,14,4,6,2.6921299487776237e-07
720,17,4,4,7.60113602490294e-08
721,6,3,2,5.582644342503507e-06
722,12,1,12,4.364654946207631e-06
723,14,1,9,6.564376753602422e-07
724,17,1,4,1.018050325244823e-07
725,3,3,16,3.795127110854531e-06
726,14,3,13,1.077137431626105e-06
727,15,4,11,4.908217968766783e-07
728,3,1,2,0.00044513020945947094
729,15,4,14,9.951467018969114e-07
730,17,2,10,2.040871420417569e-07
731,5,1,14,0.00017324554615676284
732,12,4,10,1.7276230435053011e-06
733,13,4,13,2.348786301123438e-06
